               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033092,            0.038316,           0.0051235,             0.87587,             0.80602,             0.86212,             0.57546,            0.028283,            0.030502,           0.0085172,            0.008812,            0.008812,            0.008812
                  38,            0.034348,            0.038401,           0.0048671,             0.85615,             0.80281,             0.86269,             0.58483,            0.027576,            0.030594,            0.011117,            0.008779,            0.008779,            0.008779
                  39,            0.032963,            0.037528,           0.0049391,              0.8315,             0.80889,              0.8523,             0.58996,            0.026803,            0.030625,            0.011432,            0.008746,            0.008746,            0.008746
                  40,            0.033435,            0.038807,           0.0051998,             0.85561,             0.79656,             0.84282,             0.57342,            0.027312,            0.030025,           0.0091858,            0.008713,            0.008713,            0.008713
                  41,            0.031794,            0.036252,           0.0050582,             0.88534,             0.80938,              0.8731,             0.59586,            0.027792,             0.03023,           0.0083867,             0.00868,             0.00868,             0.00868
                  42,            0.033077,            0.038161,            0.004834,              0.8882,             0.79004,             0.85829,             0.58528,            0.026579,            0.030415,           0.0086828,            0.008647,            0.008647,            0.008647
                  43,            0.032397,            0.038153,           0.0048953,             0.86971,              0.7799,             0.85413,             0.58151,            0.026388,            0.030166,            0.010013,            0.008614,            0.008614,            0.008614
                  44,            0.032127,            0.036974,           0.0048077,             0.86585,             0.83228,             0.87009,             0.57635,            0.027067,            0.030368,           0.0078214,            0.008581,            0.008581,            0.008581
                  45,            0.031641,            0.037059,           0.0045781,             0.87549,             0.81713,             0.85441,             0.58706,            0.025851,            0.030941,           0.0083542,            0.008548,            0.008548,            0.008548
                  46,            0.031406,            0.035795,           0.0038218,             0.89476,             0.82111,             0.87303,             0.59892,             0.02648,            0.030066,           0.0088593,            0.008515,            0.008515,            0.008515
                  47,            0.032248,            0.038433,            0.003974,              0.8612,             0.80813,             0.85384,             0.59781,            0.025226,            0.031099,            0.010088,            0.008482,            0.008482,            0.008482
                  48,            0.030848,            0.035095,           0.0041065,             0.92761,             0.77523,             0.87352,             0.60403,            0.026203,            0.029699,           0.0077387,            0.008449,            0.008449,            0.008449
                  49,            0.030977,            0.036207,           0.0037985,             0.85803,             0.80203,             0.84556,             0.58259,             0.02692,            0.031011,            0.012241,            0.008416,            0.008416,            0.008416
                  50,             0.03092,            0.036316,           0.0038476,             0.89495,             0.83112,             0.88502,             0.60101,            0.027691,            0.029159,           0.0074549,            0.008383,            0.008383,            0.008383
                  51,            0.031551,            0.035812,           0.0037776,             0.88403,             0.81423,              0.8815,             0.59257,            0.026001,             0.03023,           0.0076007,             0.00835,             0.00835,             0.00835
                  52,            0.030623,            0.034346,           0.0037174,             0.86077,             0.85513,             0.87796,             0.59255,            0.026354,            0.029964,           0.0077126,            0.008317,            0.008317,            0.008317
                  53,            0.030971,            0.035618,           0.0041786,             0.83797,             0.82042,             0.86166,             0.58005,            0.026921,            0.031374,           0.0087921,            0.008284,            0.008284,            0.008284
                  54,            0.030964,            0.035158,           0.0041968,             0.85884,             0.81805,             0.86529,             0.58716,             0.02646,            0.030601,           0.0080996,            0.008251,            0.008251,            0.008251
                  55,            0.030247,            0.035453,           0.0037511,             0.89972,             0.81084,             0.87205,             0.60367,            0.026058,            0.031134,           0.0082891,            0.008218,            0.008218,            0.008218
                  56,            0.031462,            0.037172,           0.0039884,             0.85577,             0.81647,             0.85666,             0.59691,            0.026116,             0.03124,            0.010047,            0.008185,            0.008185,            0.008185
                  57,             0.02997,            0.035612,           0.0038346,             0.83672,             0.80345,             0.82718,             0.58055,             0.02565,            0.030687,            0.010137,            0.008152,            0.008152,            0.008152
                  58,            0.030162,            0.035849,           0.0040858,             0.84969,             0.86078,             0.87862,             0.59162,            0.025987,            0.030875,           0.0079694,            0.008119,            0.008119,            0.008119
                  59,            0.029829,             0.03458,           0.0036894,             0.86679,             0.84924,             0.87945,             0.59784,            0.025635,            0.030577,           0.0090846,            0.008086,            0.008086,            0.008086
                  60,             0.02977,            0.035482,           0.0035062,             0.88242,             0.82884,             0.87545,             0.60272,            0.026117,            0.030572,            0.007954,            0.008053,            0.008053,            0.008053
                  61,            0.029913,            0.035091,           0.0034462,             0.88942,             0.82328,             0.87379,             0.59423,            0.026337,            0.031892,           0.0075771,             0.00802,             0.00802,             0.00802
                  62,            0.029386,            0.035033,           0.0033649,             0.85849,             0.79936,             0.85241,             0.58791,            0.026825,            0.032101,            0.008845,            0.007987,            0.007987,            0.007987
                  63,            0.029818,            0.033869,           0.0039587,             0.86343,             0.80932,             0.86718,             0.59937,            0.025753,             0.03043,           0.0095184,            0.007954,            0.007954,            0.007954
                  64,            0.029165,            0.034769,           0.0035842,             0.83121,             0.85098,             0.87403,             0.60754,            0.025264,            0.030563,           0.0075437,            0.007921,            0.007921,            0.007921
                  65,            0.028938,            0.034514,            0.003149,              0.8447,             0.80988,             0.86335,             0.59553,            0.025721,            0.031122,           0.0087187,            0.007888,            0.007888,            0.007888
                  66,            0.029319,            0.034364,           0.0033388,             0.89489,             0.80023,             0.86782,             0.59602,            0.025596,            0.031077,           0.0087201,            0.007855,            0.007855,            0.007855
                  67,            0.029709,             0.03379,           0.0032605,             0.83996,             0.80365,             0.85719,             0.58619,            0.026348,            0.032314,           0.0089203,            0.007822,            0.007822,            0.007822
                  68,            0.029662,            0.033296,           0.0034207,             0.88581,             0.82483,             0.87074,             0.60535,            0.025578,            0.031573,           0.0070381,            0.007789,            0.007789,            0.007789
                  69,            0.029058,             0.03333,           0.0034535,             0.89788,             0.76163,             0.85128,             0.57725,            0.026644,            0.030844,           0.0099714,            0.007756,            0.007756,            0.007756
                  70,            0.028617,            0.034223,           0.0030831,             0.86364,             0.81221,             0.87443,             0.60894,            0.025356,            0.030376,           0.0086688,            0.007723,            0.007723,            0.007723
                  71,            0.028917,            0.034125,           0.0031232,             0.88763,             0.78787,             0.87606,             0.59973,            0.025568,            0.031462,           0.0093839,             0.00769,             0.00769,             0.00769
                  72,            0.028244,            0.032806,           0.0029091,             0.88065,             0.79787,              0.8583,             0.57381,            0.026743,            0.032382,           0.0076969,            0.007657,            0.007657,            0.007657
                  73,            0.028296,            0.032409,           0.0033519,             0.80583,             0.82332,             0.86198,              0.5817,            0.025785,            0.031116,           0.0081627,            0.007624,            0.007624,            0.007624
                  74,            0.028308,            0.034164,           0.0033295,             0.81427,             0.84186,             0.86445,             0.58657,            0.025871,            0.031076,           0.0084516,            0.007591,            0.007591,            0.007591
                  75,            0.028638,             0.03371,            0.003268,              0.8846,             0.80185,             0.86499,             0.59366,            0.025773,            0.032134,           0.0075686,            0.007558,            0.007558,            0.007558
                  76,              0.0284,            0.033632,            0.003119,             0.85659,             0.80955,             0.85646,             0.59008,            0.025593,            0.032097,           0.0078125,            0.007525,            0.007525,            0.007525
                  77,            0.027678,            0.034438,            0.002785,              0.8574,              0.8298,             0.87126,             0.60387,            0.025763,            0.032172,           0.0080612,            0.007492,            0.007492,            0.007492
                  78,            0.027925,            0.032252,           0.0031823,             0.89689,             0.81417,             0.87016,             0.60506,            0.025622,            0.031037,           0.0089864,            0.007459,            0.007459,            0.007459
                  79,            0.027475,            0.032236,           0.0032329,             0.88175,             0.77322,             0.84901,             0.58784,            0.025533,            0.031602,           0.0088399,            0.007426,            0.007426,            0.007426
                  80,            0.027993,            0.032499,           0.0030339,             0.92342,             0.79019,             0.87678,             0.60329,            0.025562,            0.031141,           0.0069224,            0.007393,            0.007393,            0.007393
                  81,            0.027507,            0.032492,           0.0029804,             0.85766,             0.81743,             0.87104,              0.6032,            0.025595,            0.030919,            0.008387,             0.00736,             0.00736,             0.00736
                  82,            0.028064,            0.032927,           0.0027474,             0.88225,             0.79749,             0.86018,             0.59545,            0.025656,            0.031327,           0.0088547,            0.007327,            0.007327,            0.007327
                  83,            0.027629,            0.032203,           0.0026876,             0.86672,             0.83224,             0.86023,             0.60302,            0.025665,            0.031628,           0.0086146,            0.007294,            0.007294,            0.007294
                  84,            0.027047,            0.033545,           0.0028832,             0.89921,             0.82561,             0.86667,             0.59209,             0.02626,             0.03219,           0.0078615,            0.007261,            0.007261,            0.007261
                  85,            0.027928,            0.031963,           0.0028438,             0.89533,             0.79458,             0.87677,             0.61288,            0.025742,            0.030156,           0.0074852,            0.007228,            0.007228,            0.007228
                  86,            0.027689,            0.031775,           0.0029879,             0.87462,             0.82145,             0.87052,             0.60269,             0.02513,            0.031431,           0.0073461,            0.007195,            0.007195,            0.007195
                  87,              0.0278,            0.032888,           0.0025897,             0.89236,             0.80113,              0.8646,             0.60574,            0.025385,            0.031158,           0.0083356,            0.007162,            0.007162,            0.007162
                  88,            0.027011,            0.032469,           0.0030254,             0.86219,              0.8193,             0.85068,             0.60127,            0.025769,            0.030813,           0.0091929,            0.007129,            0.007129,            0.007129
                  89,            0.026948,            0.032098,           0.0028598,             0.88431,             0.83346,             0.87429,             0.60614,            0.025698,            0.031397,           0.0082025,            0.007096,            0.007096,            0.007096
                  90,            0.027274,            0.031625,            0.002553,             0.86012,             0.81047,             0.86123,             0.59491,            0.025892,            0.031577,           0.0079386,            0.007063,            0.007063,            0.007063
                  91,            0.027267,            0.031368,            0.002537,             0.88617,             0.79918,             0.86412,             0.59941,            0.026647,            0.031762,           0.0082409,             0.00703,             0.00703,             0.00703
                  92,            0.027187,            0.032069,           0.0029439,              0.8668,             0.80007,             0.86536,             0.59453,            0.025702,            0.031558,           0.0091779,            0.006997,            0.006997,            0.006997
                  93,             0.02653,            0.031622,           0.0023492,             0.89167,             0.81214,              0.8785,             0.61239,             0.02554,            0.030834,           0.0079852,            0.006964,            0.006964,            0.006964
                  94,            0.026897,            0.031822,            0.002723,             0.89363,             0.78539,             0.85713,             0.60613,            0.025576,            0.031438,           0.0099467,            0.006931,            0.006931,            0.006931
                  95,            0.026656,            0.031108,           0.0025406,             0.86094,             0.79545,             0.85703,             0.60046,            0.025152,            0.031644,            0.010049,            0.006898,            0.006898,            0.006898
                  96,             0.02569,            0.031346,           0.0023259,              0.8786,              0.7964,             0.85993,             0.60613,            0.025215,            0.033048,           0.0088417,            0.006865,            0.006865,            0.006865
                  97,             0.02598,            0.030929,           0.0026873,             0.87427,             0.78812,             0.85689,             0.59752,            0.025768,            0.031601,            0.010871,            0.006832,            0.006832,            0.006832
                  98,            0.026429,            0.031995,           0.0028141,             0.84418,             0.79286,             0.84863,             0.59871,            0.025553,            0.031088,            0.011314,            0.006799,            0.006799,            0.006799
                  99,            0.026491,            0.032051,           0.0025657,              0.8455,             0.82168,             0.86481,             0.60584,            0.025574,            0.031488,           0.0080883,            0.006766,            0.006766,            0.006766
                 100,            0.025721,            0.031687,           0.0023853,             0.88774,             0.78985,             0.86161,             0.60274,            0.025702,            0.031859,           0.0085678,            0.006733,            0.006733,            0.006733
                 101,            0.026044,            0.030781,           0.0026279,             0.86833,             0.81185,              0.8608,             0.60009,            0.025708,            0.032486,           0.0084864,              0.0067,              0.0067,              0.0067
                 102,            0.025733,            0.031168,           0.0022593,              0.9142,              0.7892,             0.85667,             0.60287,            0.025424,            0.032703,           0.0082873,            0.006667,            0.006667,            0.006667
                 103,            0.025587,            0.031452,           0.0025211,             0.89424,             0.82149,             0.87046,             0.61152,            0.025567,            0.030849,             0.00914,            0.006634,            0.006634,            0.006634
                 104,            0.025913,            0.031444,           0.0023813,             0.87981,             0.80213,             0.86523,             0.61032,            0.024971,            0.031932,           0.0082382,            0.006601,            0.006601,            0.006601
                 105,            0.026315,             0.03127,           0.0027092,             0.84139,             0.82725,              0.8653,             0.60001,            0.025183,            0.031972,           0.0084658,            0.006568,            0.006568,            0.006568
                 106,            0.025503,            0.030421,           0.0023039,             0.83616,             0.80643,             0.85336,             0.58749,            0.025893,            0.032335,            0.010095,            0.006535,            0.006535,            0.006535
                 107,            0.025528,             0.03018,            0.002234,             0.86456,             0.82971,             0.85399,             0.60064,            0.025532,            0.033037,           0.0079053,            0.006502,            0.006502,            0.006502
                 108,            0.025872,            0.031735,            0.002714,             0.89517,             0.78258,             0.85837,              0.6021,            0.025926,            0.032373,           0.0083532,            0.006469,            0.006469,            0.006469
                 109,            0.025033,            0.031439,           0.0024855,             0.90204,             0.76762,             0.85598,             0.60405,            0.025384,            0.032284,           0.0088359,            0.006436,            0.006436,            0.006436
                 110,            0.026152,            0.030332,           0.0024235,             0.88505,             0.83538,             0.87087,              0.6111,            0.025226,            0.032404,           0.0078458,            0.006403,            0.006403,            0.006403
                 111,            0.025684,            0.031102,           0.0025699,             0.89469,             0.80405,             0.86437,             0.60155,            0.025763,            0.032235,           0.0084173,             0.00637,             0.00637,             0.00637
                 112,            0.025355,            0.031159,           0.0025389,             0.89102,             0.84242,             0.87034,             0.60725,            0.025683,            0.031806,           0.0073718,            0.006337,            0.006337,            0.006337
                 113,            0.025576,            0.030248,            0.002415,             0.92244,             0.76039,             0.85233,             0.59498,            0.026345,            0.033251,           0.0088796,            0.006304,            0.006304,            0.006304
                 114,            0.024925,             0.02952,           0.0023965,             0.85322,             0.82311,             0.86258,             0.59396,            0.025523,            0.032283,           0.0087771,            0.006271,            0.006271,            0.006271
                 115,            0.024941,            0.029666,           0.0022187,             0.88611,             0.81327,             0.86772,             0.60409,            0.025764,             0.03248,           0.0097209,            0.006238,            0.006238,            0.006238
